Piece,Part,Quantity,Supplier,Reference
Frame- 2 versions available,Main,1,3D printed,Gcode file available on Gglab Onshape
Shelves,Main,2,3D printed,Gcode file available on Gglab Onshape
Cogs,Main,10,3D printed,Gcode file available on Gglab Onshape
Levers,Main,10,3D printed,Gcode file available on Gglab Onshape
Platform- 2 sizes available,Main,1,3D printed,Gcode file available on Gglab Onshape
LEGO Pneumatic Two-way Valve with Pinholes (47223),Main,10,Brickowl,http://www.brickowl.com/catalog/lego-pneumatic-two-way-valve-with-pinholes-47223
LEGO Technic Pin with Lengthwise Friction Ridges and Center Slots (2780,Main,20,Brickowl,http://www.brickowl.com/catalog/lego-technic-pin-with-lengthwise-friction-ridges-and-center-slots-2780
2x6mm screw,Cog screw,10,Amazon,http://www.amazon.co.uk/Tapping-Thread-Round-Phillips-Screw/dp/B00GMQDSRI?ie=UTF8&ref_=pe_1909131_77697121_tnp_email_TE_AMZLdp_1
2x 10mm screw,"Servo, shelf and platform screws",28,Amazon,http://www.amazon.co.uk/dp/B00MFBTWMO/ref=pe_385721_37986871_TE_item
9G microservos 4.8V,Circuitry,10,roboscop,http://www.robotshop.com/uk/9g-micro-servo-motor-4-8v.html
Lynx Motion SSC-32 Servo Controller,Circuitry,1,Roboshop,http://robotshop.com/en/lynxmotion-ssc-32-servo-controller.html
USB A to micro cable,Circuitry,1,RS,RS 888-8811
USB A to mini cable (30cm),Circuitry,1,Amazon,http://www.amazon.com/30CM-male-plug-leads-Cable/dp/B00MMVLH9I
10 Way Fish Tank Splitters,odour delivery,1 o 2 depending on setup,Ebay,http://www.ebay.co.uk/itm/281812927693
"Sillicone tubing OD, ID, WT (5mm,3mm,1mm)",odour delivery,20 x 12mm lengths,VWR,
"Sillicone tubing OD, ID, WT (10mm,6mm,2mm)",odour delivery,1 or 2 x 300mm (depending on setup),VWR,
Anker 40w PSU,Power supply,1,Amazon,?
